Year;Year (each ant moves once a year on average)
		x
		Amount of food collected
0;0
0;0
1;3
2;5
4;8
5;10
6;10
8;11
9;13
10;14
12;19
13;22
14;24
16;25
17;25
18;28
20;34
21;39
22;42
24;44
25;48
26;50
28;50
29;50
30;50
32;51
33;51
34;52
36;52
37;53
38;54
40;54
41;55
42;55
44;56
45;57
46;57
48;59
49;59
50;62
52;62
53;62
54;62
56;64
57;64
58;65
60;66
61;68
62;68
64;68
65;69
66;71
68;71
69;72
70;72
72;72
73;72
74;73
76;73
77;73
78;73
80;74
81;74
82;74
84;75
85;75
86;75
88;75
89;75
90;76
92;76
93;76
94;76
96;76
97;76
98;76
100;76
101;77
102;80
104;81
105;82
106;84
108;84
109;84
110;85
112;85
113;85
114;86
116;87
117;87
118;87
120;87
121;87
122;88
124;89
125;90
126;92
128;93
129;93
130;93
132;93
133;93
134;94
136;94
137;94
138;95
140;95
141;95
142;95
144;95
145;96
146;97
148;98
149;98
150;99
152;99
153;101
154;101
156;102
157;103
158;104
160;106
161;108
162;108
164;109
165;109
166;109
168;110
169;111
170;111
172;111
173;111
174;111
176;111
177;112
178;113
180;114
181;114
182;116
184;117
185;117
186;118
188;118
189;118
190;118
192;118
193;119
194;120
196;121
197;121
198;121
200;122
201;122
202;122
204;122
205;123
206;123
208;123
209;123
210;123
212;124
213;124
214;124
216;124
217;124
218;124
220;125
221;125
222;125
224;125
225;127
226;128
228;128
229;128
230;128
232;128
233;128
234;128
236;128
237;128
238;128
240;129
241;130
242;131
244;131
245;131
246;131
248;131
249;131
250;131
252;131
253;131
254;131
256;131
257;131
258;131
260;131
261;131
262;131
264;131
265;132
266;132
268;132
269;132
270;132
272;132
273;132
274;132
276;132
277;132
278;132
280;132
281;132
282;132
284;132
285;132
286;132
288;132
289;132
290;132
292;132
293;132
294;132
296;132
297;132
298;132
300;132
301;132
302;132
304;132
305;132
306;132
308;132
309;132
310;132
312;132
313;132
314;132
316;132
317;132
318;132
320;132
321;132
322;132
324;132
325;132
326;132
328;132
329;132
330;132
332;132
333;132
334;132
336;132
337;132
338;132
340;132
341;132
342;132
344;132
345;132
346;132
348;132
349;132
350;132
352;132
353;132
354;132
356;132
357;132
358;132
360;132
361;132
362;132
364;132
365;132
366;132
368;132
369;132
370;132
372;132
373;132
374;132
376;132
377;132
378;132
380;132
381;132
382;132
384;132
385;132
386;132
388;132
389;132
390;132
392;132
393;132
394;132
396;132
397;132
398;132
400;132
401;132
402;132
404;132
405;132
406;132
408;132
409;132
410;132
412;132
413;132
414;132
416;132
417;132
418;132
420;132
421;132
422;132
424;132
